bank_transaction_id,transaction_date,description,reference,credit_amount,debit_amount,balance,bank_utr
BANK-80008,2026-08-15,NEFT-RZP-PAYOUT-SET-20260815-008,ORD-JRTZ6,12500.0,0.0,512500.0,KKBK478104447690
BANK-80036,2026-08-15,COLLECTION CREDIT RZP CHK-D7AE5,SET-20260815-036,732.3,0.0,513232.3,ICIC072630365968
BANK-80037,2026-08-15,RZP PAYOUT INV-9ZPDW UTR:HDFC469072315571,SET-20260815-037,23433.6,0.0,536665.9,HDFC469072315571
BANK-80003,2026-08-16,RAZORPAY SETTLEMENT SET-20260816-003,INV-FMXYX,24000.0,0.0,560665.9,HDFC617139656872
BANK-80009,2026-08-16,RAZORPAY SETTLEMENT SET-20260816-009,CHK-EFQ5C,12500.0,0.0,573165.9,KKBK065007244891
BANK-80011,2026-08-16,COLLECTION CREDIT RZP WEB-8UUBC,WEB-8UUBC,6200.0,0.0,579365.9,PUNB559272362370
BANK-80017,2026-08-16,NEFT-RZP-PAYOUT-SET-20260816-017,INV-XD6SX,18900.0,0.0,598265.9,UTIB421496963502
BANK-80021,2026-08-16,RAZORPAY NEFT SETTLEMENT CHK-PGP6U,CHK-PGP6U,12500.0,0.0,610765.9,PUNB085492388577
BANK-80029,2026-08-16,RAZORPAY NEFT SETTLEMENT ORD-38CHT,ORD-38CHT,1200.0,0.0,611965.9,SBIN672544893667
BANK-80034,2026-08-16,CMS/RAZORPAY/SET-20260816-034/NODAL,SET-20260816-034,8299.4,0.0,620265.3,SBIN892539588274
BANK-80041,2026-08-16,RAZORPAY NEFT SETTLEMENT CHK-83M3A,SET-20260816-041,23433.6,0.0,643698.9,KKBK137236364693
BANK-80064,2026-08-16,SETTLEMENT REF SET-20260816-064 / PUNB691670073356,SET-20260816-064,9764.0,0.0,653462.9,PUNB691670073356
BANK-80074,2026-08-16,RAZORPAY NEFT SETTLEMENT WEB-HCVQX,SET-20260816-074,0.0,446.04,653016.86,HDFC204577192955
BANK-80081,2026-08-16,RZP PAYOUT CHK-NTBAF UTR:SBIN863998929652,SET-20260816-081,0.0,17.7,652999.16,SBIN863998929652
BANK-80002,2026-08-17,RZP PAYOUT WEB-NMMJB UTR:SBIN593586857022,WEB-NMMJB,750.0,0.0,653749.16,SBIN593586857022
BANK-80024,2026-08-17,SETTLEMENT REF WEB-7U7N8 / ICIC066178619734 ,WEB-7U7N8,18900.0,0.0,672649.16,ICIC066178619734
BANK-80031,2026-08-17,RAZORPAY SETTLEMENT SET-20260817-031,SET-20260817-031,3904.62,0.0,676553.78,PUNB425458760268
BANK-80065,2026-08-17,RZP PAYOUT SET-20260817-065 UTR:HDFC354918037444,SET-20260817-065,8494.68,0.0,685048.46,HDFC354918037444
BANK-80068,2026-08-17,PAYMENT GATEWAY CREDIT SET-20260817-068 VIA NEFT,SET-20260817-068,8982.88,0.0,694031.34,ICIC155013446536
BANK-80071,2026-08-17,CMS/RAZORPAY/SET-20260817-071/NODAL,SET-20260817-071,14353.08,0.0,708384.42,PUNB809489087178
BANK-80075,2026-08-17,RAZORPAY NEFT SETTLEMENT CHK-KB867,SET-20260817-075,1167.18,0.0,709551.6,PUNB650363564215
BANK-80076,2026-08-17,COLLECTION CREDIT RZP CHK-8TEHG,SET-20260817-076,5955.0,0.0,715506.6,PUNB043580360085
BANK-80027,2026-08-18,CMS/RAZORPAY/SET-20260818-027/NODAL,APP-MTM9T,3999.0,0.0,719505.6,UTIB722111571247
BANK-80028,2026-08-18,RZP PAYOUT INV-ATJ9T UTR:PUNB967102439281,INV-ATJ9T,1200.0,0.0,720705.6,PUNB967102439281
BANK-80044,2026-08-18,razorpay settlement set-20260818-044,SET-20260818-044,18453.96,0.0,739159.56,UTIB811216007231
BANK-80046,2026-08-18,RZP PAYOUT APP-TL9SQ UTR:KKBK471685848483,SET-20260818-046,18453.96,0.0,757613.52,KKBK471685848483
BANK-80049,2026-08-18,COLLECTION CREDIT RZP ORD-Z9CSN,SET-20260818-049,732.3,0.0,758345.82,SBIN337750016626
BANK-80059,2026-08-18,CMS/RAZORPAY/SET-20260818-059/NODAL,SET-20260818-059,4735.54,0.0,763081.36,SBIN617400285751
BANK-80060,2026-08-18,RAZORPAY SETTLEMENT SET-20260818-060,SET-20260818-060,23433.6,0.0,786514.96,KKBK572035165395
BANK-80066,2026-08-18,RAZORPAY NEFT SETTLEMENT SET-20260818-066,SET-20260818-066,14157.8,0.0,800672.76,KKBK768580065674
BANK-80067,2026-08-18,rzp payout set-20260818-067 utr:sbin948403425025,SET-20260818-067,7323.0,0.0,807995.76,SBIN948403425025
BANK-80070,2026-08-18,CMS/RAZORPAY/SET-20260818-070/NODAL,SET-20260818-070,8201.76,0.0,816197.52,UTIB967282521720
BANK-80097,2026-08-18,DIRECT UPI SETTLEMENT NO REF,UPI-MISC-99,1464.6,0.0,817662.12,UPI999999999999
BANK-80006,2026-08-19,payment gateway credit set-20260819-006 via neft,ORD-E2T2S,18900.0,0.0,836562.12,HDFC541398225078
BANK-80010,2026-08-19,PAYMENT GATEWAY CREDIT SET-20260819-010 VIA NEFT ,CHK-YZ3XR,3999.0,0.0,840561.12,ICIC295570558190
BANK-80022,2026-08-19,NEFT-RZP-PAYOUT-SET-20260819-022,INV-X3Z47,6200.0,0.0,846761.12,KKBK595604812343
BANK-80030,2026-08-19,PAYMENT GATEWAY CREDIT SET-20260819-030 VIA NEFT,ORD-TFPYR,2450.0,0.0,849211.12,HDFC277469766945
BANK-80035,2026-08-19,PAYMENT GATEWAY CREDIT SET-20260819-035 VIA NEFT,SET-20260819-035,1171.68,0.0,850382.8,UTIB892384349397
BANK-80043,2026-08-19,PAYMENT GATEWAY CREDIT SET-20260819-043 VIA NEFT,SET-20260819-043,2392.18,0.0,852774.98,PUNB331184665072
BANK-80057,2026-08-19,NEFT-RZP-PAYOUT-SET-20260819-057,SET-20260819-057,34174.0,0.0,886948.98,PUNB722979165477
BANK-80063,2026-08-19,NEFT-RZP-PAYOUT-SET-20260819-063,SET-20260819-063,4735.54,0.0,891684.52,ICIC530636463083
BANK-80082,2026-08-19,SETTLEMENT REF INV-AGE44 / HDFC255865377607 ,SET-20260819-082,0.0,28.32,891656.2,HDFC255865377607
BANK-80093,2026-08-19,PAYMENT GATEWAY CREDIT SET-20260819-095 VIA NEFT,SET-20260819-095,8299.4,0.0,899955.6,ICIC276864678855
BANK-80094,2026-08-19,RZP PAYOUT WEB-E2PBJ UTR:PUNB182787645244,SET-20260819-096,12205.0,0.0,912160.6,PUNB182787645244
BANK-80095,2026-08-19,COLLECTION CREDIT RZP CHK-LA2ZZ,SET-20260819-097,7948.35,0.0,920108.95,SBIN668739843251
BANK-80014,2026-08-20,NEFT-RZP-PAYOUT-SET-20260820-014 ,ORD-BM79B,6200.0,0.0,926308.95,UTIB221784619898
BANK-80015,2026-08-20,NEFT-RZP-PAYOUT-SET-20260820-015,ORD-J3D55,24000.0,0.0,950308.95,ICIC193882632073
BANK-80033,2026-08-20,RAZORPAY SETTLEMENT SET-20260820-033,SET-20260820-033,12205.0,0.0,962513.95,SBIN672594619621
BANK-80058,2026-08-20,SETTLEMENT REF WEB-W5TD5 / HDFC272914924300,SET-20260820-058,3904.62,0.0,966418.57,HDFC272914924300
