order_id,order_reference,order_date,customer_id,gross_amount,currency,payment_method,order_status
ORD-10001,ORD-EDZTU,2026-08-25,CUS-5506,2450.0,INR,UPI,PAID
ORD-10002,WEB-NMMJB,2026-08-17,CUS-6514,750.0,INR,UPI,PAID
ORD-10003,INV-FMXYX,2026-08-16,CUS-8428,24000.0,INR,UPI,PAID
ORD-10004,INV-GR6WE,2026-08-21,CUS-4456,18900.0,INR,UPI,PAID
ORD-10005,APP-9S95A,2026-08-21,CUS-7304,6200.0,INR,Card,PAID
ORD-10006,ORD-E2T2S,2026-08-19,CUS-9317,18900.0,INR,NetBanking,PAID
ORD-10007,APP-5PGTZ,2026-08-22,CUS-3705,3999.0,INR,NetBanking,PAID
ORD-10008,ORD-JRTZ6,2026-08-15,CUS-2160,12500.0,INR,NetBanking,PAID
ORD-10009,CHK-EFQ5C,2026-08-16,CUS-4116,12500.0,INR,UPI,PAID
ORD-10010,CHK-YZ3XR,2026-08-19,CUS-8454,3999.0,INR,NetBanking,PAID
ORD-10011,WEB-8UUBC,2026-08-16,CUS-4853,6200.0,INR,Card,PAID
ORD-10012,ORD-SEMCH,2026-08-24,CUS-2200,12500.0,INR,Wallet,PAID
ORD-10013,ORD-YGWJR,2026-08-23,CUS-5616,18900.0,INR,UPI,PAID
ORD-10014,ORD-BM79B,2026-08-20,CUS-3426,6200.0,INR,Card,PAID
ORD-10015,ORD-J3D55,2026-08-20,CUS-7745,24000.0,INR,Card,PAID
ORD-10016,INV-F8JDP,2026-08-23,CUS-1452,750.0,INR,UPI,PAID
ORD-10017,INV-XD6SX,2026-08-16,CUS-6409,18900.0,INR,NetBanking,PAID
ORD-10018,CHK-XS38Z,2026-08-24,CUS-8618,8500.0,INR,Card,PAID
ORD-10019,CHK-HWA22,2026-08-25,CUS-7291,8500.0,INR,Card,PAID
ORD-10020,APP-QF5Q2,2026-08-22,CUS-9270,6200.0,INR,Card,PAID
ORD-10021,CHK-PGP6U,2026-08-16,CUS-6421,12500.0,INR,UPI,PAID
ORD-10022,INV-X3Z47,2026-08-19,CUS-1475,6200.0,INR,UPI,PAID
ORD-10023,WEB-ZB8HC,2026-08-21,CUS-2341,8500.0,INR,UPI,PAID
ORD-10024,WEB-7U7N8,2026-08-17,CUS-2771,18900.0,INR,Wallet,PAID
ORD-10025,WEB-PM6QE,2026-08-25,CUS-7882,8500.0,INR,UPI,PAID
ORD-10026,WEB-RLRMJ,2026-08-22,CUS-7209,4850.0,INR,Card,PAID
ORD-10027,APP-MTM9T,2026-08-18,CUS-4986,3999.0,INR,UPI,PAID
ORD-10028,INV-ATJ9T,2026-08-18,CUS-6912,1200.0,INR,UPI,PAID
ORD-10029,ORD-38CHT,2026-08-16,CUS-1878,1200.0,INR,Card,PAID
ORD-10030,ORD-TFPYR,2026-08-19,CUS-3573,2450.0,INR,Card,PAID
ORD-10031,APP-ZUKDY,2026-08-17,CUS-3718,3999.0,INR,UPI,PAID
ORD-10032,CHK-SQJ9P,2026-08-25,CUS-1659,1200.0,INR,NetBanking,PAID
ORD-10033,WEB-XTPGM,2026-08-20,CUS-7622,12500.0,INR,UPI,PAID
ORD-10034,WEB-WE7KY,2026-08-16,CUS-2858,8500.0,INR,UPI,PAID
ORD-10035,CHK-TMTTQ,2026-08-19,CUS-9022,1200.0,INR,Card,PAID
ORD-10036,CHK-D7AE5,2026-08-15,CUS-6439,750.0,INR,UPI,PAID
ORD-10037,INV-9ZPDW,2026-08-15,CUS-4846,24000.0,INR,Card,PAID
ORD-10038,APP-EQJJA,2026-08-21,CUS-4945,8500.0,INR,Card,PAID
ORD-10039,INV-A4NA5,2026-08-21,CUS-5847,35000.0,INR,Card,PAID
ORD-10040,WEB-UZCKZ,2026-08-25,CUS-6061,8500.0,INR,Card,PAID
ORD-10041,CHK-83M3A,2026-08-16,CUS-4696,24000.0,INR,UPI,PAID
ORD-10042,CHK-DBB9D,2026-08-25,CUS-5951,24000.0,INR,NetBanking,PAID
ORD-10043,CHK-QHM9M,2026-08-19,CUS-7070,2450.0,INR,UPI,PAID
ORD-10044,ORD-4H23V,2026-08-18,CUS-4394,18900.0,INR,UPI,PAID
ORD-10045,CHK-2SDS8,2026-08-21,CUS-2041,8500.0,INR,UPI,PAID
ORD-10046,APP-TL9SQ,2026-08-17,CUS-5505,18900.0,INR,UPI,PAID
ORD-10047,CHK-C4CDZ,2026-08-20,CUS-7132,1200.0,INR,Card,PAID
ORD-10048,WEB-MTDJH,2026-08-23,CUS-8900,2450.0,INR,UPI,PAID
ORD-10049,ORD-Z9CSN,2026-08-17,CUS-7566,750.0,INR,NetBanking,PAID
ORD-10050,INV-PKXRX,2026-08-21,CUS-9394,750.0,INR,UPI,PAID
ORD-10051,WEB-PQCLP,2026-08-25,CUS-2180,6200.0,INR,NetBanking,PAID
ORD-10052,INV-2CWSG,2026-08-21,CUS-6562,2450.0,INR,NetBanking,PAID
ORD-10053,INV-ECQKJ,2026-08-24,CUS-6295,24000.0,INR,UPI,PAID
ORD-10054,CHK-S8Q34,2026-08-24,CUS-6267,18900.0,INR,Card,PAID
ORD-10055,APP-XKZX7,2026-08-25,CUS-6401,750.0,INR,UPI,PAID
ORD-10056,CHK-SAK8L,2026-08-25,CUS-2531,24000.0,INR,NetBanking,PAID
ORD-10057,CHK-BMZ9V,2026-08-17,CUS-3712,35000.0,INR,NetBanking,PAID
ORD-10058,WEB-W5TD5,2026-08-18,CUS-3267,3999.0,INR,NetBanking,PAID
ORD-10059,WEB-4W3EK,2026-08-16,CUS-1461,4850.0,INR,UPI,PAID
ORD-10060,APP-QD6VA,2026-08-16,CUS-7878,24000.0,INR,UPI,PAID
ORD-10061,INV-ZMCHX,2026-08-22,CUS-7338,4850.0,INR,UPI,PAID
ORD-10062,ORD-6LKN4,2026-08-22,CUS-4302,499.0,INR,UPI,PAID
ORD-10063,APP-JCPP9,2026-08-17,CUS-9151,4850.0,INR,UPI,PAID
ORD-10064,CHK-8M2US,2026-08-15,CUS-5566,5000.0,INR,UPI,PAID
ORD-10065,WEB-AFS7D,2026-08-15,CUS-8311,2000.0,INR,Card,PAID
ORD-10066,APP-K7RD5,2026-08-15,CUS-8292,2000.0,INR,UPI,PAID
ORD-10067,INV-XYTKK,2026-08-15,CUS-3852,1000.0,INR,UPI,PAID
ORD-10068,WEB-ELCQS,2026-08-16,CUS-3981,4200.0,INR,UPI,PAID
ORD-10069,CHK-S54SK,2026-08-16,CUS-4694,2000.0,INR,UPI,PAID
ORD-10070,APP-65JWT,2026-08-16,CUS-5961,2500.0,INR,UPI,PAID
ORD-10071,WEB-RWK8R,2026-08-17,CUS-7653,5000.0,INR,NetBanking,PAID
ORD-10072,CHK-CBQRG,2026-08-17,CUS-6121,2500.0,INR,Card,PAID
ORD-10073,INV-Z59EM,2026-08-17,CUS-6228,5000.0,INR,Card,PAID
ORD-10074,CHK-DQEB8,2026-08-17,CUS-7850,2000.0,INR,NetBanking,PAID
ORD-10075,CHK-KADEJ,2026-08-17,CUS-7606,5000.0,INR,UPI,PAID
ORD-10076,WEB-NUGTC,2026-08-17,CUS-5582,2500.0,INR,UPI,PAID
ORD-10077,CHK-9ZKL4,2026-08-16,CUS-5911,2000.0,INR,UPI,PAID
ORD-10078,WEB-MX9U3,2026-08-16,CUS-1436,3000.0,INR,Card,PAID
ORD-10079,CHK-JW9UH,2026-08-16,CUS-8871,4200.0,INR,UPI,PAID
ORD-10080,ORD-ST9RN,2026-08-24,CUS-8531,1000.0,INR,Wallet,PAID
ORD-10081,INV-TX5X3,2026-08-24,CUS-8932,4200.0,INR,UPI,PAID
ORD-10082,ORD-JK892,2026-08-24,CUS-9011,2000.0,INR,Card,PAID
ORD-10083,CHK-M73JD,2026-08-24,CUS-7220,2500.0,INR,Card,PAID
ORD-10084,ORD-WBPYD,2026-08-17,CUS-1084,4200.0,INR,Card,PAID
ORD-10085,ORD-P76RG,2026-08-17,CUS-6262,4200.0,INR,Wallet,PAID
ORD-10086,WEB-AUD9K,2026-08-16,CUS-9901,2500.0,INR,Wallet,PAID
ORD-10087,CHK-6ESJ3,2026-08-16,CUS-8518,4200.0,INR,UPI,PAID
ORD-10088,INV-YALKX,2026-08-16,CUS-7643,5000.0,INR,UPI,PAID
ORD-10089,APP-LND9R,2026-08-16,CUS-1111,3000.0,INR,NetBanking,PAID
ORD-10090,INV-MH8RQ,2026-08-22,CUS-7121,5000.0,INR,Wallet,PAID
ORD-10091,APP-72342,2026-08-22,CUS-2341,3000.0,INR,Card,PAID
ORD-10092,CHK-SM7D4,2026-08-22,CUS-4312,4200.0,INR,NetBanking,PAID
ORD-10093,APP-ELSDG,2026-08-22,CUS-2489,4200.0,INR,Card,PAID
ORD-10094,CHK-BP229,2026-08-22,CUS-7887,1000.0,INR,Card,PAID
