settlement_id,settlement_date,gross_amount,total_mdr,total_gst,refunds,chargebacks,net_settlement,transaction_ids
SET-20260825-001,2026-08-25,2450.0,0.0,0.0,0.0,0.0,2450.0,TXN-50001
SET-20260817-002,2026-08-17,750.0,0.0,0.0,0.0,0.0,750.0,TXN-50002
SET-20260816-003,2026-08-16,24000.0,0.0,0.0,0.0,0.0,24000.0,TXN-50003
SET-20260821-004,2026-08-21,18900.0,0.0,0.0,0.0,0.0,18900.0,TXN-50004
SET-20260821-005,2026-08-21,6200.0,0.0,0.0,0.0,0.0,6200.0,TXN-50005
SET-20260819-006,2026-08-19,18900.0,0.0,0.0,0.0,0.0,18900.0,TXN-50006
SET-20260822-007,2026-08-22,3999.0,0.0,0.0,0.0,0.0,3999.0,TXN-50007
SET-20260815-008,2026-08-15,12500.0,0.0,0.0,0.0,0.0,12500.0,TXN-50008
SET-20260816-009,2026-08-16,12500.0,0.0,0.0,0.0,0.0,12500.0,TXN-50009
SET-20260819-010,2026-08-19,3999.0,0.0,0.0,0.0,0.0,3999.0,TXN-50010
SET-20260816-011,2026-08-16,6200.0,0.0,0.0,0.0,0.0,6200.0,TXN-50011
SET-20260824-012,2026-08-24,12500.0,0.0,0.0,0.0,0.0,12500.0,TXN-50012
SET-20260823-013,2026-08-23,18900.0,0.0,0.0,0.0,0.0,18900.0,TXN-50013
SET-20260820-014,2026-08-20,6200.0,0.0,0.0,0.0,0.0,6200.0,TXN-50014
SET-20260820-015,2026-08-20,24000.0,0.0,0.0,0.0,0.0,24000.0,TXN-50015
SET-20260823-016,2026-08-23,750.0,0.0,0.0,0.0,0.0,750.0,TXN-50016
SET-20260816-017,2026-08-16,18900.0,0.0,0.0,0.0,0.0,18900.0,TXN-50017
SET-20260824-018,2026-08-24,8500.0,0.0,0.0,0.0,0.0,8500.0,TXN-50018
SET-20260825-019,2026-08-25,8500.0,0.0,0.0,0.0,0.0,8500.0,TXN-50019
SET-20260822-020,2026-08-22,6200.0,0.0,0.0,0.0,0.0,6200.0,TXN-50020
SET-20260816-021,2026-08-16,12500.0,0.0,0.0,0.0,0.0,12500.0,TXN-50021
SET-20260819-022,2026-08-19,6200.0,0.0,0.0,0.0,0.0,6200.0,TXN-50022
SET-20260821-023,2026-08-21,8500.0,0.0,0.0,0.0,0.0,8500.0,TXN-50023
SET-20260817-024,2026-08-17,18900.0,0.0,0.0,0.0,0.0,18900.0,TXN-50024
SET-20260825-025,2026-08-25,8500.0,0.0,0.0,0.0,0.0,8500.0,TXN-50025
SET-20260822-026,2026-08-22,4850.0,0.0,0.0,0.0,0.0,4850.0,TXN-50026
SET-20260818-027,2026-08-18,3999.0,0.0,0.0,0.0,0.0,3999.0,TXN-50027
SET-20260818-028,2026-08-18,1200.0,0.0,0.0,0.0,0.0,1200.0,TXN-50028
SET-20260816-029,2026-08-16,1200.0,0.0,0.0,0.0,0.0,1200.0,TXN-50029
SET-20260819-030,2026-08-19,2450.0,0.0,0.0,0.0,0.0,2450.0,TXN-50030
SET-20260817-031,2026-08-17,3999.0,79.98,14.4,0.0,0.0,3904.62,TXN-50031
SET-20260825-032,2026-08-25,1200.0,24.0,4.32,0.0,0.0,1171.68,TXN-50032
SET-20260820-033,2026-08-20,12500.0,250.0,45.0,0.0,0.0,12205.0,TXN-50033
SET-20260816-034,2026-08-16,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50034
SET-20260819-035,2026-08-19,1200.0,24.0,4.32,0.0,0.0,1171.68,TXN-50035
SET-20260815-036,2026-08-15,750.0,15.0,2.7,0.0,0.0,732.3,TXN-50036
SET-20260815-037,2026-08-15,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50037
SET-20260821-038,2026-08-21,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50038
SET-20260821-039,2026-08-21,35000.0,700.0,126.0,0.0,0.0,34174.0,TXN-50039
SET-20260825-040,2026-08-25,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50040
SET-20260816-041,2026-08-16,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50041
SET-20260825-042,2026-08-25,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50042
SET-20260819-043,2026-08-19,2450.0,49.0,8.82,0.0,0.0,2392.18,TXN-50043
SET-20260818-044,2026-08-18,18900.0,378.0,68.04,0.0,0.0,18453.96,TXN-50044
SET-20260821-045,2026-08-21,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50045
SET-20260818-046,2026-08-18,18900.0,378.0,68.04,0.0,0.0,18453.96,TXN-50046
SET-20260821-047,2026-08-21,1200.0,24.0,4.32,0.0,0.0,1171.68,TXN-50047
SET-20260824-048,2026-08-24,2450.0,49.0,8.82,0.0,0.0,2392.18,TXN-50048
SET-20260818-049,2026-08-18,750.0,15.0,2.7,0.0,0.0,732.3,TXN-50049
SET-20260822-050,2026-08-22,750.0,15.0,2.7,0.0,0.0,732.3,TXN-50050
SET-20260826-051,2026-08-26,6200.0,124.0,22.32,0.0,0.0,6053.68,TXN-50051
SET-20260822-052,2026-08-22,2450.0,49.0,8.82,0.0,0.0,2392.18,TXN-50052
SET-20260825-053,2026-08-25,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50053
SET-20260825-054,2026-08-25,18900.0,378.0,68.04,0.0,0.0,18453.96,TXN-50054
SET-20260826-055,2026-08-26,750.0,15.0,2.7,0.0,0.0,732.3,TXN-50055
SET-20260827-056,2026-08-27,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50056
SET-20260819-057,2026-08-19,35000.0,700.0,126.0,0.0,0.0,34174.0,TXN-50057
SET-20260820-058,2026-08-20,3999.0,79.98,14.4,0.0,0.0,3904.62,TXN-50058
SET-20260818-059,2026-08-18,4850.0,97.0,17.46,0.0,0.0,4735.54,TXN-50059
SET-20260818-060,2026-08-18,24000.0,480.0,86.4,0.0,0.0,23433.6,TXN-50060
SET-20260824-061,2026-08-24,4850.0,97.0,17.46,0.0,0.0,4735.54,TXN-50061
SET-20260824-062,2026-08-24,499.0,9.98,1.8,0.0,0.0,487.22,TXN-50062
SET-20260819-063,2026-08-19,4850.0,97.0,17.46,0.0,0.0,4735.54,TXN-50063
SET-20260816-064,2026-08-16,10000.0,200.0,36.0,0.0,0.0,9764.0,TXN-50064;TXN-50065;TXN-50066;TXN-50067
SET-20260817-065,2026-08-17,8700.0,174.0,31.32,0.0,0.0,8494.68,TXN-50068;TXN-50069;TXN-50070
SET-20260818-066,2026-08-18,14500.0,290.0,52.2,0.0,0.0,14157.8,TXN-50071;TXN-50072;TXN-50073;TXN-50074
SET-20260818-067,2026-08-18,7500.0,150.0,27.0,0.0,0.0,7323.0,TXN-50075;TXN-50076
SET-20260817-068,2026-08-17,9200.0,184.0,33.12,0.0,0.0,8982.88,TXN-50077;TXN-50078;TXN-50079
SET-20260825-069,2026-08-25,9700.0,194.0,34.92,0.0,0.0,9471.08,TXN-50080;TXN-50081;TXN-50082;TXN-50083
SET-20260818-070,2026-08-18,8400.0,168.0,30.24,0.0,0.0,8201.76,TXN-50084;TXN-50085
SET-20260817-071,2026-08-17,14700.0,294.0,52.92,0.0,0.0,14353.08,TXN-50086;TXN-50087;TXN-50088;TXN-50089
SET-20260823-072,2026-08-23,16400.0,328.0,59.04,0.0,0.0,16012.96,TXN-50090;TXN-50091;TXN-50092;TXN-50093
SET-20260823-073,2026-08-23,11000.0,220.0,39.6,0.0,0.0,10740.4,TXN-50094;TXN-50095;TXN-50096;TXN-50097
SET-20260816-074,2026-08-16,18900.0,378.0,68.04,18900.0,0.0,-446.04,TXN-50098
SET-20260817-075,2026-08-17,2450.0,49.0,8.82,1225.0,0.0,1167.18,TXN-50099
SET-20260817-076,2026-08-17,12500.0,250.0,45.0,6250.0,0.0,5955.0,TXN-50100
SET-20260820-077,2026-08-20,2450.0,49.0,8.82,2450.0,0.0,-57.82,TXN-50101
SET-20260820-078,2026-08-20,18900.0,378.0,68.04,9450.0,0.0,9003.96,TXN-50102
SET-20260823-079,2026-08-23,24000.0,480.0,86.4,0.0,24000.0,-566.4,TXN-50103
SET-20260821-080,2026-08-21,35000.0,700.0,126.0,0.0,35000.0,-826.0,TXN-50104
SET-20260816-081,2026-08-16,750.0,15.0,2.7,0.0,750.0,-17.7,TXN-50105
SET-20260819-082,2026-08-19,1200.0,24.0,4.32,0.0,1200.0,-28.32,TXN-50106
SET-20260821-083,2026-08-21,4850.0,97.0,17.46,0.0,4850.0,-114.46,TXN-50107
SET-20260825-084,2026-08-25,4850.0,97.0,17.46,0.0,0.0,4735.54,TXN-50108
SET-20260823-085,2026-08-23,18900.0,378.0,68.04,0.0,0.0,18453.96,TXN-50109
SET-20260824-086,2026-08-24,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50110
SET-20260824-087,2026-08-24,1200.0,24.0,4.32,0.0,0.0,1171.68,TXN-50111
SET-20260821-088,2026-08-21,35000.0,700.0,126.0,0.0,0.0,34174.0,TXN-50112
SET-20260821-089,2026-08-21,1200.0,24.0,4.32,0.0,0.0,1171.68,TXN-50113
SET-20260825-090,2026-08-25,12500.0,250.0,45.0,0.0,0.0,12205.0,TXN-50115
SET-20260823-091,2026-08-23,2450.0,49.0,8.82,0.0,0.0,2392.18,TXN-50117
SET-20260820-092,2026-08-20,6200.0,124.0,22.32,0.0,0.0,6053.68,TXN-50119
SET-1042,2026-08-22,50000.0,1525.42,274.58,0.0,0.0,48200.0,TXN-50121
SET-20260823-093,2026-08-23,18900.0,378.0,68.04,0.0,0.0,18453.96,TXN-50122
SET-20260820-094,2026-08-20,35000.0,700.0,126.0,0.0,0.0,34174.0,TXN-50123
SET-20260819-095,2026-08-19,8500.0,170.0,30.6,0.0,0.0,8299.4,TXN-50124
SET-20260819-096,2026-08-19,12500.0,250.0,45.0,0.0,0.0,12205.0,TXN-50125
SET-20260819-097,2026-08-19,8500.0,467.5,84.15,0.0,0.0,7948.35,TXN-50126
SET-20260825-098,2026-08-25,750.0,41.25,7.43,0.0,0.0,701.32,TXN-50127
