gateway_transaction_id,order_reference,captured_amount,transaction_date,payment_status,payment_method,gateway_fee,gst_on_fee,refund_amount,chargeback_amount,settlement_id,settlement_date
TXN-50001,ORD-EDZTU,2450.0,2026-08-25,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260825-001,2026-08-25
TXN-50002,WEB-NMMJB,750.0,2026-08-17,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260817-002,2026-08-17
TXN-50003,INV-FMXYX,24000.0,2026-08-16,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260816-003,2026-08-16
TXN-50004,INV-GR6WE,18900.0,2026-08-21,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260821-004,2026-08-21
TXN-50005,APP-9S95A,6200.0,2026-08-21,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260821-005,2026-08-21
TXN-50006,ORD-E2T2S,18900.0,2026-08-19,CAPTURED,NetBanking,0.0,0.0,0.0,0.0,SET-20260819-006,2026-08-19
TXN-50007,APP-5PGTZ,3999.0,2026-08-22,CAPTURED,NetBanking,0.0,0.0,0.0,0.0,SET-20260822-007,2026-08-22
TXN-50008,ORD-JRTZ6,12500.0,2026-08-15,CAPTURED,NetBanking,0.0,0.0,0.0,0.0,SET-20260815-008,2026-08-15
TXN-50009,CHK-EFQ5C,12500.0,2026-08-16,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260816-009,2026-08-16
TXN-50010,CHK-YZ3XR,3999.0,2026-08-19,CAPTURED,NetBanking,0.0,0.0,0.0,0.0,SET-20260819-010,2026-08-19
TXN-50011,WEB-8UUBC,6200.0,2026-08-16,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260816-011,2026-08-16
TXN-50012,ORD-SEMCH,12500.0,2026-08-24,CAPTURED,Wallet,0.0,0.0,0.0,0.0,SET-20260824-012,2026-08-24
TXN-50013,ORD-YGWJR,18900.0,2026-08-23,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260823-013,2026-08-23
TXN-50014,ORD-BM79B,6200.0,2026-08-20,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260820-014,2026-08-20
TXN-50015,ORD-J3D55,24000.0,2026-08-20,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260820-015,2026-08-20
TXN-50016,INV-F8JDP,750.0,2026-08-23,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260823-016,2026-08-23
TXN-50017,INV-XD6SX,18900.0,2026-08-16,CAPTURED,NetBanking,0.0,0.0,0.0,0.0,SET-20260816-017,2026-08-16
TXN-50018,CHK-XS38Z,8500.0,2026-08-24,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260824-018,2026-08-24
TXN-50019,CHK-HWA22,8500.0,2026-08-25,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260825-019,2026-08-25
TXN-50020,APP-QF5Q2,6200.0,2026-08-22,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260822-020,2026-08-22
TXN-50021,CHK-PGP6U,12500.0,2026-08-16,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260816-021,2026-08-16
TXN-50022,INV-X3Z47,6200.0,2026-08-19,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260819-022,2026-08-19
TXN-50023,WEB-ZB8HC,8500.0,2026-08-21,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260821-023,2026-08-21
TXN-50024,WEB-7U7N8,18900.0,2026-08-17,CAPTURED,Wallet,0.0,0.0,0.0,0.0,SET-20260817-024,2026-08-17
TXN-50025,WEB-PM6QE,8500.0,2026-08-25,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260825-025,2026-08-25
TXN-50026,WEB-RLRMJ,4850.0,2026-08-22,CAPTURED,Card,0.0,0.0,0.0,0.0,SET-20260822-026,2026-08-22
TXN-50027,APP-MTM9T,3999.0,2026-08-18,CAPTURED,UPI,0.0,0.0,0.0,0.0,SET-20260818-027,2026-08-18
